classification,consistency,daily_pnl
Extreme Fear,consistent,15769.374550363636
Extreme Fear,inconsistent,1722.2117191181103
Extreme Greed,consistent,14300.15714994964
Extreme Greed,inconsistent,1879.7143845736434
Fear,consistent,14994.22006292353
Fear,inconsistent,1756.821806402174
Greed,consistent,9562.482670612904
Greed,inconsistent,1354.8569148194726
Neutral,consistent,10960.419740876288
Neutral,inconsistent,823.5124038888889
