classification,daily_pnl,win_rate
Extreme Fear,4619.4390530625005,0.32965914590002776
Extreme Greed,5161.9226438650185,0.3863873398662182
Fear,5328.818161336508,0.36403251387116353
Greed,3318.100729862654,0.3435587568848799
Neutral,3438.6188179521278,0.35541409810875263
